LDN,Elev,GDP,Nt,Pop,Pre,Tem
0,0.18782,0.0038737,0,0.0002393,0.259702,0.869548
1,0.135966,0.0014647,0,0.0004408,0.574685,0.941499
1,0.252186,0.0023497,0,0.0001922,0.504308,0.8696
1,0.203799,0.0013352,0.0047619,0.0000809,0.508641,0.87474
1,0.11637,0.0016829,0,0.00071,0.660474,0.959394
1,0.272535,0.0026859,0,0.0003115,0.365766,0.841961
1,0.267712,0.0017391,0.0047619,0.0001925,0.491241,0.833505
1,0.239976,0.0013438,0,0.0004271,0.436754,0.878479
1,0.149834,0.0036155,0.0055556,0.0001908,0.601916,0.925568
1,0.29801,0.0016255,0,0.000321,0.368166,0.748469
1,0.198824,0.0013387,0,0.0000868,0.504789,0.910857
1,0.229273,0.0057246,0.0190476,0.0009217,0.359868,0.826343
-1,0.299216,0.0107877,0.102381,0.0101129,0.28958,0.797435
1,0.309919,0.0072372,0,0.0008274,0.288995,0.775721
1,0.0818511,0.0012295,0,0.0004528,0.498072,0.91663
1,0.165963,0.0024846,0,0.0000664,0.559303,0.912384
1,0.223696,0.0016155,0,0.0007558,0.444811,0.836884
1,0.309316,0.0016979,0,0.0002081,0.35381,0.753039
0,0.230479,0.0031357,0,0.0002604,0.251581,0.915149
1,0.284293,0.0082578,0,0.0010184,0.36915,0.778349
1,0.480253,0.0017094,0,0.0001684,0.326163,0.597931
1,0.167018,0.0029455,0.0111111,0.0004082,0.623509,0.893337
1,0.196714,0.0186872,0,0.0001591,0.428961,0.832288
1,0.184203,0.0043784,0,0.0006714,0.585549,0.885843
0,0.184504,0.0009917,0,0.0003617,0.450339,0.905605
0,0.202593,0.0014987,0,0.0002144,0.536339,0.897733
1,0.158577,0.0028875,0,0.0036743,0.626737,0.903852
1,0.548839,0.0020396,0,0.0000991,0.340964,0.525894
1,0.229726,0.0054058,0.0515873,0.0010475,0.351568,0.853279
-1,0.302985,0.0534074,0.0936508,0.0080382,0.300578,0.780214
1,0.346096,0.0019332,0,0.0001634,0.440209,0.69955
1,0.160386,0.0042428,0,0.0000835,0.557846,0.902479
1,0.295749,0.0030201,0,0.0004145,0.3721,0.793439
1,0.164908,0.0011632,0,0.0002706,0.488699,0.88829
1,0.270124,0.0010978,0,0.0002546,0.398148,0.861773
1,0.146819,0.0019969,0,0.0005082,0.461367,0.914929
1,0.297558,0.0008783,0,0.0000703,0.543666,0.810396
1,0.11833,0.0014706,0,0.0011125,0.499912,0.928426
1,0.222792,0.0015276,0,0.0002816,0.468129,0.865853
1,0.140941,0.0014784,0,0.0005963,0.51858,0.91268
1,0.20817,0.0006382,0,0.0011086,0.590425,0.835022
1,0.34896,0.13657,0,0.0001127,0.33246,0.729347
1,0.251281,0.0027026,0,0.0003683,0.635346,0.840395
1,0.250678,0.0010345,0,0.0000685,0.328409,0.86661
